first	second	opt	dist	bytes
10111010001111010110001010010010100	10110110100011101111100001100001000	14	14	336271992
11011110001110100010001011010100100	11011100001110111100100100100011000	18	18	824780328
11110011010011101001000101001101000	11111100101001000111000010111100000	12	12	140367240
11111010001100100101001111000100100	11110010011001001110011100100011000	12	12	111891448
11101110011000010100110100110011000	11111000111001001001100011100011000	14	14	313911000
11101100101001010011100110010011000	11110010001110011010001110010010100	14	15	366972432
11100111101001001001010011100110000	11101010100111100100010110001101000	12	12	158273328
11101000111110111001000010010101000	11110110001011101010000111000110000	8	8	4659560
11110010011100100101001101100100100	11011011000101011101001100010100100	17	18	848338896
11100101100011011110000110010010100	11110010011110001000110011100011000	15	15	519730368
11111100001001110010010011001101000	11110011001001001111100101000101000	10	10	38932968
11110100101100010110110001010100100	11101011101001001011001100010010100	16	16	634412848
11110001001110011100010011110000100	11110010011111000110010001011000100	13	13	274309696
11010100111110010101110100000011000	11111100011001010010110001110001000	16	16	573181976
11011001010011101110001100100010100	11110011110010010001110000111001000	18	19	923906840
11100100110101010011101010010010100	10111000111100100111100110000100100	15	15	503769048
10110111101100010100100101101010000	11010110011000110100101110001100100	18	18	832038408
11010110001101111110000010100100100	11001110110000101111010001010010100	18	18	902541264
10111110010010011001111001000110000	11010011100110010011011000101100100	11	11	98052256
11001111011001001001101000111001000	10110011110001110100001110001100100	18	19	867699456
11101010010100111001101100001101000	11111010100010010111000110011000100	14	14	341733648
11101001101000101101010011100100100	11010110100011110000110011010100100	12	12	130429792
11011001101100100100101110100011000	11110010011100101000110010111000100	15	15	396758424
11100111101001001001001100101110000	11111101001100110010001100100010100	14	14	330244408
11111110100100101001100011100010000	11111001011010100001110001100100100	13	13	221355360
11100111000011110000111010011000100	11110001010111000011100100110011000	14	15	395067840
11110001001111000011011000110100100	11100110001101011001001110011000100	11	11	65699616
11101000111000110100110011101100000	11010101001101101100100111000010100	19	20	958921080
11001101111001011000110000111001000	11111100100100100110010110011000100	19	19	957015592
11111000111000101001101001001100100	11111001001110010011001100011001000	17	18	900600160
11001111110100000110100101010010100	11111100010011010100010011011000100	16	18	779422152
11111101001001001010001110001101000	11011101101100101000110010100100100	18	21	893156712
11110110100011000110010011100010100	11111011000010010011010011010110000	12	12	139352680
11100101001011110000101110010100100	11111001000101110001101001100011000	15	15	490119640
11110101100010010110001100111000100	11100110100110100011110010011000100	12	12	110473688
11101110010001100110100100101100100	11100101001110001111000010111100000	14	14	258377056
11101010011011001111000010101001000	11110101010011010001100011001100100	19	19	1043135424
11111100011000100101001110010110000	11011111000111001001001100110001000	19	20	989390696
11111000110100111010001100010010100	11100011110011110010011001000010100	11	11	60835272
11011100100100110100111010001110000	11111110000001110010011101000011000	13	13	197878776
10111110100101001001100110010011000	11101001010101001101110100100100100	19	19	1018654888
11111000011100010100111001100011000	11001110101101100010011001010011000	8	8	4980240
11110011000111000111000100110101000	11100101110000110111010010010010100	13	13	264161248
10111110011010010010111000100100100	11101101001011101000001100101101000	20	20	1030492216
11111001001010100110100010101101000	11111010010110000110010100101011000	12	12	127971912
11110010001111010010010100111000100	11111001010010111000011100010010100	10	10	33094192
11111010011000010100111110001000100	11001111001110011001000110010011000	16	16	628510728
11001110001101011100011000101101000	11101001011100100011111000001011000	17	17	788116056
11011101010001011001001101010100100	10111001010100111101001000110011000	17	17	736177704
11110010010101001111000011100010100	11111000111001001100010101001100100	15	15	590211280
10111100011101001100100101001101000	10110110001101110000110100110110000	18	18	943883064
11011111001001100001110100101001000	11100111010010100110100101100011000	13	13	261676640
11001111100010010101001101001100100	11110001100011011001010011011001000	18	18	991597088
11011110010001100101010011010011000	11101010100100111010010011010011000	9	9	13441504
11101001001111011001111000010000100	11101010100100101110011100001010100	12	12	108133696
11100100110011100110100101010010100	11110001110010001101001110011000100	13	13	239287248
11110001001100111001001101100010100	11100111101001001101000111001000100	11	11	62357456
11110100111001100000110011010010100	11101010100101010011110001011001000	13	13	159735368
11011010011110000011011010001010100	10111001110001110001100100111000100	15	15	391004744
11110001101101000110001101001010100	11101000111000111100110001001101000	14	14	316052312
11111010010001110001100110110000100	11101100011100001011010011100011000	15	15	387033384
11011100011001001011100011100011000	11001110110010011001001111000011000	17	17	729523368
10111001010110001101001111000011000	11110010011010001111110000010010100	12	12	98169640
11111010000011100110010010111000100	11110011100011000110101010001100100	16	16	633429568
11101001001101001101100111000110000	11110001110010110010010011001010100	17	17	665002264
11100110100011010110001011011001000	11011001111000001100110110001011000	16	16	500418280
11111000110010010010111001001110000	11111000101001101101010001001110000	13	13	178897720
11101001100110100110100100101101000	11110011000011100110110100100010100	18	18	909372752
11111001001010010011010110100100100	11111000100110001111001110001000100	14	14	347671576
10110101001011011010011000111010000	11110011001000111001110001001100100	17	17	686471624
11111101000001110001100010101100100	11110100100111100100110010010100100	12	12	98149608
11110011000101100110010010110110000	10110110011001111000011110001010000	15	16	472391912
11100110010011110010010101011000100	11111000100111110100000100110100100	15	15	557625664
11100111101010000110010110011000100	11010111000110011011000011010010100	15	15	532688720
11110001110000111100100011100100100	11110000101110011100100101001101000	11	11	57187448
11110001110001101001001110100100100	11010101001101100101001100110011000	13	13	274570392
11101100100110011001101000111100000	11111100010010100010111110001001000	13	13	246580280
11101001110010011100100010110101000	11101001001110001110011001100110000	14	14	333172968
11110100010111110000011010011000100	11111000110010010110100100101010100	15	15	523762960
11111110000100110101001000111001000	11110101001101001001010011100101000	13	13	172985392
11100011110011001000101011010100100	11110101001011001110000111100010000	15	15	484592248
11110001111011000110010000110100100	11001110011100100100101110001100100	15	15	374414576
11111100010100001011100011001100100	11011000111001101110010000111001000	17	18	666170240
11110000111110000110010011001100100	11110110101001011000011001100100100	16	17	744853840
11100011001110100110111000011100000	11111001010001100011111000010011000	11	11	65498704
11111011000010010011010100111000100	11111010011000011001110001100010100	12	12	138691440
11010111000100111111001000010010100	11110001001011011110000011100100100	13	13	237628232
11110001011010101001110010001110000	11110001101001001110001111000100100	14	14	423167152
11101100001111010100010011001110000	11111010010010001111010001010110000	14	14	305165624
11111100010001011001001011001101000	11101001110010100101011100001011000	15	16	466600128
11111001000111000100110100101011000	11110010110100011000110010110101000	12	12	149687936
11101010011100011100010010101100100	11011110100110001101000101100100100	10	10	32236384
11001111011000010110100100101100100	11101001001101110000111001011000100	19	20	971462784
11110011101001000111000011100110000	11101001001101110010110001100011000	15	15	483935584
11110011000110001011100111000100100	11110011001001110001100100111001000	14	14	339496328
11111100100101001010100100110100100	11101100011001111100000011010010100	15	15	516514136
11101100010100111110010010010011000	11010011101001011001001111010010000	14	15	384332656
11101010100110001101100110010010100	11100100111010011101000101001101000	18	18	915502864
11110110011000101001001111001010000	11111001001100010011110001010010100	15	15	390091496
