first	second	opt	dist	visited
1100111101100100100111100011001010000	1101101001111100000011110001010011000	21	21	27	3797289688
1110011001001111100100101000111000100	1110100010111001011101010010100110000	21	21	26	3868033768
1111001100100100110101010011101000100	1110110001110100011100111001000110000	19	19	26	3292411816
1011100110100100101100101100101011000	1111010100011010100101010011100100100	21	21	26	3741608544
1110110100110100110100010011110100000	1110010111000011100110011011000011000	20	20	24	3394569848
1100111101000111100001010011110010000	1101101001101001001111100010010011000	21	21	24	3888301600
1111100001011001100011001110011000100	1101100100111011001010010101001110000	19	19	26	3255637264
1111010001110100101000111011000100100	1111001100010101001110100010111100000	21	21	27	3710818112
1111110010001100110100010101001110000	1110110011101001000111000110010011000	23	23	27	3867322456
1110001100111001100101001111000100100	1011010111010010110110001111000001000	22	25	26	3878779616
1101010011101011000111000011101100000	1111000110110001011001001110001110000	20	20	25	3585764856
1110111010100000111101001100011001000	1111011000111001100100100100101110000	20	20	27	3229626088
1111100100100011110100100111001001000	1011110000111011010010010011110010000	22	24	28	3825523904
1111110111001010001100011010001000100	1101101000110011010101001101001011000	20	20	27	3239597784
1111110010001001110100110010011000100	1011111010100010110010011100001110000	20	20	27	3572834152
1111001010110010011000101111100010000	1110100101010011101010100010110010100	19	19	25	2981255112
1101111100011100100111000010001110000	1011101110000011111000100110101001000	20	20	26	3459036424
1111001011010011000111000100101011000	1101111001100100101001101100100100100	23	23	27	3866593048
1111010011100111011001100000110000100	1100110101100011111100000110001011000	21	21	25	3493178864
1111100101010011011100000010110011000	1111010010110100001101001101011010000	20	20	28	3180229824
1100101111001010010011101001010100100	1110110100110001001110100111000011000	24	24	28	3862636592
1111001001111001010000110011100100100	1101111000011000111101001010010011000	21	21	27	3720507240
1111100001001111011010010010010010100	1111010110001001001110001101001110000	19	19	27	3276120672
1111110100100010101100011000110010100	1111100100110000111101010011000110000	19	19	27	3352615392
1111101001101110001010010011001010000	1111010100101100010111001000101010100	20	20	27	3542014080
1111000111010010100110010110001100100	1110111001001001011000111001100011000	19	19	26	3490143208
1111101011001001001100011000110101000	1110001010111100100011111000110100000	23	25	27	3851495824
1011110011001001110100010100111010000	1110010011111000100110010011001011000	21	21	26	3858309608
1111011000100111001010011110001000100	1111100010011000110011110011010010000	19	19	27	3448237920
1110101000111100110100001100110011000	1110011101110000100110110010100110000	23	24	28	3845079488
1110001101001111101110000101000110000	1101010100111111010011000100101001000	19	19	24	3279739928
1110110011000110110000111001101001000	1101101000110100110011110001001010100	19	20	27	2835878352
1111001100110010001011001110010101000	1111110100001001101001010101001100100	19	20	25	2909375088
1110010011100011011100001110011100000	1101111000010100101110011100100100100	21	21	26	3684920192
1110001101101001100110001110001011000	1011011010001111000110111101000000100	24	25	27	3863133088
1101110100100101001110111100010000100	1100111010110101001010011100001011000	20	20	26	3479958368
1100111000111000111001001111101000000	1101100011100111000110011000111000100	21	21	27	3812508488
1110011100101100001101100110110000100	1101100011001111000100111111000001000	19	19	26	2770502216
1110110011010011100001001011001011000	1111001100011100101101000100111010000	23	23	27	3848933152
1110101100111111001010000010101010000	1111101000011100011111100000100011000	22	22	26	3885845096
1111011000110001100101001100110101000	1111001100011010001110010101011000100	18	18	27	2752462792
1111100001001111001001101100010110000	1101110110001100100101001111000011000	22	22	26	3830352456
1111010001001110001111100000111001000	1100101110010011010011110001110000100	21	21	28	3715684096
1110101100001110011110100010100010100	1110010111001100001111010001010110000	22	22	26	3693036432
1110111001100011000111010110000101000	1110101001110000110110011011010000100	21	21	26	3652337176
1101110100001110011110001110000100100	1111101000011110010011000110001101000	20	20	26	3374107080
1110101001100110110000111011000100100	1111000111010100011001010011001011000	20	20	27	3568129512
1111000011001111001000111010101000100	1110110110100010100101010101001011000	20	20	26	3430572064
1111011001011110100110000001011010000	1111100010001011101110001000110010100	22	22	27	3562803256
1110111100001001100011101001010101000	1110011100011101001010010110100010100	22	22	27	3844074176
1111001000111000111100100110100011000	1101110001001011010100111101001000100	17	17	27	2212134272
1101010011011101100100101011000100100	1111110001010001100100111010101001000	22	22	27	3807750960
1101110010001111000111100010010101000	1111000111010100001101011100010010100	18	18	25	2797906184
1101010100110010111100100110001101000	1101111010011000110001101000110010100	20	20	28	3443283792
1110101100010011100101110000111000100	1101111001100010011010010011100011000	20	20	26	3498538128
1011111010101001011000100011100011000	1111010010010011011001110100011000100	21	21	26	3666108160
1110111010010000111000110011110100000	1011001110010111001011100011000011000	23	25	27	3763376672
1101001110011100100011001111010000100	1111011011000011100101001001101001000	24	24	28	3860026392
1011010110010101001110100111100000100	1110001110110011001110001111000100000	20	20	25	3779520640
1101010010110110001011011000111001000	1111001010010011110001100101001010100	18	18	28	2552102696
1011100111001100010011110101000100100	1111001110010001111110011000000101000	24	24	25	3864837160
1110111001001010001110011011001100000	1110011100001111010001110000101100100	21	21	27	3453252528
1010101111010011110000100110001101000	1111000100110011100111000101101100000	21	21	27	3749598776
1101110010011000111100011000111000100	1011101001111001000010111010100011000	17	17	25	2316360920
1111011110001100001001110011100010000	1110010100111110011000110100011100000	19	19	25	2958466192
1101011001001111001010011001001100100	1111000110011100011001100100111100000	20	20	24	3820268520
1100111100001110100110011000111100000	1111011100011000101100010111000110000	21	21	26	3826551320
1111110000110100011001010011001110000	1110101111001001000110100110101000100	19	19	27	3312119360
1010111011100101001010100110001101000	1101001011110110010110001001101000100	23	23	27	3865007864
1111101100010011000101011001010100100	1100111110001100011100100011010101000	22	22	26	3843703744
1111010010110100101101010001001100100	1110010011011010001100111100011001000	22	22	27	3807990976
1111010001001111000110100011011100000	1101101101001001100100110101100010100	23	23	28	3846798824
1110101001110010111000100100110100100	1110110010010011011001101001001011000	20	20	27	3670471600
1111100110010010110001101001101001000	1110111000011110100010010100101100100	23	25	28	3852343280
1111100100100110001101010101010010100	1101100100111100010110010011110010000	19	19	25	3351197352
1110011001001110101010011000111000100	1011001110011001110001001110010101000	20	20	27	3636478376
1101001100111001001011110001001010100	1100110101001111100100001111000101000	18	18	26	3020193448
1111010001010011001101100011100101000	1101011010001100111101100010010010100	21	21	29	3653884664
1101100111100101100100100101001010100	1111100110010010100110101010011100000	23	24	27	3857730232
1101101100011010011000111101010001000	1110100101100011011010100110011010000	22	22	26	3868250016
1111011000111111101000010100001001000	1111100010100100111100010100110110000	19	19	24	3584981560
1101110011100000111001010010101100100	1111111001001001011001001010010101000	21	21	28	3682959696
1100111101000101100011110100100011000	1110100011010011101100011101000100100	20	21	26	3727626960
1011110100011011010100001101001110000	1101100110101001010110010011011001000	21	21	24	3633912936
1110111110100000011100011001001110000	1011001110010110001100110100110011000	19	20	27	3131830384
1110111001100010011110000110101100000	1101011001010011110010011100001110000	21	21	25	3743815664
1100111010010100111111000101000011000	1111011000111000100110110100001100100	20	20	25	3803897160
1111100011001100111001000100110011000	1110110100011010010011010011100100100	22	22	27	3795822632
1111010010010101001110100011010011000	1110011001001111001100010100110100100	20	20	26	3633783528
1101110011101000101011100001100101000	1111011101000010010101100101010100100	19	19	25	3360653960
