first second opt dist central
10101111100001001101100100111100000 11101110001100011011001100100010100 20 21 25
11101111000011010001010011010100100 11111100010111000011000110001101000 19 19 25
11101100011101100010010011010010100 11110001101001010011011010001110000 20 20 26
11011110000101101000111010001011000 11100111000110001110110010110000100 21 21 25
11111000111110000101010011001000100 11011010011010011110100100010110000 20 21 24
11101010110110001001110000111001000 11010111010001100110010011001110000 18 18 23
11010100111001111001100100001101000 11111010011001001101101001100000100 20 21 25
11101101100110000101001101100100100 11111000111110001001001000111001000 21 21 26
11101101000110010110010010111001000 11100010111100101110000101001100100 20 20 25
11010100111001101100001100110011000 11100110100101001111100100101010000 20 21 23
11011001001110001111000110001101000 11100111001001100010111001100100100 19 19 26
10111001110001110000111001110000100 11110011010101000110100100110011000 22 22 26
11110110000110011100010011011010000 11111000101001001111011000110001000 18 18 22
11010110100011101110001001001101000 11110010011001100110001111100010000 17 17 23
10111011001001110001110010001011000 11111000110010011010010101011010000 23 23 25
11110100110001110010110100001010100 11011101001101000100101110101010000 22 24 27
11110100010110010011100011001011000 11001110011101101001100001011000100 18 19 25
11101010100110100111100110010000100 11111110000110000010110110011001000 21 21 25
11111100000101101100010011100010100 10111001001101100110100111001010000 20 20 25
11111000100110011100100100111010000 11011100011000110100110011111000000 18 18 23
11110100110011000101010011001011000 11110010011001010010111010011000100 19 19 26
11111011000001001111000110010011000 10111011001010011100010101001100100 19 19 25
11010111010011011000011001001101000 11111001000100101101100011010010100 20 21 25
11011010011100010011110011001001000 11100110111100101100001001100100100 20 20 21
11011101010001011001001101010100100 11100011010100111101001000110011000 20 20 23
11100011101100010100101011001101000 11101101000111011111000011000010000 22 22 25
11111010011110011001000100011001000 11110011000101001100111010001100100 20 20 26
10111011110001100011010011100010000 11101111000001010011010011100011000 22 22 25
11101000111110001100100101110000100 11110010100110110011000111000011000 17 17 22
10111011010001011001001101110010000 11010011110100100111000100101010100 18 18 24
11011100101101000011011000110010100 11100110010010111000111010100101000 21 21 26
11101010111100001000111001011001000 11001100110011011010010100101100100 20 21 25
11100101111100100101010011001100000 11110100011101010010011001001100100 21 21 25
11001111010010011001100010101110000 11101101000101100010110101010010100 18 18 25
11110011000100111010010100101010100 11110100110001100111011000011001000 18 18 25
11110110001011001100111000010100100 11111100110010010010010101001101000 20 21 25
11110010011001001100111100011000100 11101001111100010100111100010010000 20 20 25
11100011111000100110011000111000100 10111000111000111001001011110001000 21 24 25
11001011101110000101100011110000100 11110110100001111000001110011001000 22 23 25
11001110111100010110010001010011000 11101101010101000010111011000100100 22 22 25
10111111000001011011100100100010100 11100110100011100101001111001010000 19 19 25
11111010110010001101010011010010000 11001011111100010001101000110010100 22 23 26
11100110010100111100110001101100000 11010011111101001000010110001100100 21 22 24
