first	second	opt	dist	central	visited
111010011111100011000101000010100	111100110011000011011001001110000	18	18	22	279917624
111110111000011000011001001100100	101110110110001001111000010011000	18	18	21	262211128
111101001100011001010011110100000	111110010011000100111101000100100	17	17	22	277822440
111010001101001110001110011000100	111001101100011000110011001110000	19	19	24	281072640
111100110001110100100101110000100	101110001100111010001110001011000	18	18	23	268606536
111110010011001110001001110001000	111011001110010000110100101110000	19	20	23	289060032
111010011010011101001001100011000	111110010011010100100111000100100	18	18	24	287229096
111001101010011110010010110001000	110111000101001110011010010100100	22	22	23	288504664
111110100101101000010010111001000	110110100100111100100101001100100	19	19	23	266280824
101110101010010011110001101000100	111010011001001111000110001011000	19	19	23	286805888
110110101010100101110010001011000	111110011000101010011010110000100	19	19	23	285228752
111011000110100110001111010000100	101011111001100100101000110011000	19	19	23	286007760
111010010011010011100110010110000	111100101010011101001100010011000	18	18	22	270791224
111101011001001010011110010000100	111100011100010011100111000011000	16	16	23	224661856
111001011000111100011111001000000	111101100011000011110010011100000	17	17	22	260696752
111011000101001101110001100010100	111000111110010101001111000100000	17	17	22	246009032
101111000111001000110110100010100	111111100000100110101000111100000	20	20	24	284707288
111001101001001101010010101100100	111010110010011001110010010011000	17	17	24	264058040
110110001111001001111000001100100	111100011101010011100000110011000	17	17	23	269360432
110101001111010001110001001100100	101100111001110101100000110011000	18	18	23	283365744
111001111011100000101000110010100	111011000110010110001101001110000	20	20	24	286339200
101111011001001110000011001101000	111100010110100010110100111100000	19	21	24	276718024
111001011011001000110101001101000	111101010001101010100101010010100	19	19	23	282434768
110111010011100100101100010101000	111100011100100111010010011000100	19	19	21	286268128
110101100011011111001000001101000	111111000101100010011000110010100	19	20	24	281848136
111101100011100001011100001110000	111110010100101101000111000011000	19	20	23	286422616
111101110001001000111010101000100	110101100011110001110010001011000	17	17	23	213717928
111101001010011010011100101100000	111011101000100111010010001101000	19	19	23	283776040
111100101001101001001110010011000	111010100110001100111001001110000	18	18	24	284392704
111001110100111000101001010101000	111101000101011010010100110010100	18	18	21	286956720
111010011000111001100011011001000	101110100110110110100001001100100	19	19	23	276090080
111101000101011110100001001100100	110011110001001101001011010011000	18	18	23	263319616
101110100110010110001101110001000	111111100011001000100110001100100	18	18	20	267234096
101101001101100110010011010011000	110100111111010010101000100110000	17	17	22	267253024
111011010010100100110100101100100	111100010010111100010110100011000	18	18	24	262901400
111001110001111001100010101100000	111010011010011001101010001100100	22	22	24	286636168
111100100111010001101001101001000	101101011010010011110011000100100	18	18	19	281487000
111100101000111101000101001110000	111010001111001001110100101000100	18	18	23	279297616
111001110000111011101000010110000	111111010010110000101001010010100	19	19	24	279445216
110111101010000110010100110100100	111100010110001101100011101001000	19	19	22	284980840
110011011110010101000011001110000	110101100011100111011001000011000	20	20	22	285793416
101011100011110101001110100100000	111110001111000010111000001100100	20	20	23	286045936
111110011100010011110000011100000	111101001110001100110010100100100	17	17	23	283196792
110100111110001011100001001100100	111100100100111000101110110100000	17	18	23	263206592
110011101100101001001110010100100	111101100111010001000110100011000	16	16	22	230941488
111101001100001110110011010010000	111001100111001010010100111001000	20	20	22	284850488
101111001001011000101111000010100	110011110010001111001100100101000	18	19	23	277202752
110101100100111001010111010000100	110101010011001101100011010011000	17	18	23	260942016
111100110010110001110001011010000	111010011000110100111011000010100	22	23	23	287932024
111101001011000010111010010100100	111100110110001011010001100011000	20	20	24	283034816
111101010110100101001010010100100	101111101000100010110110111000000	18	18	21	276177152
